engine,adapter,rate_index,repetition,target_rate_rps,trace_sha256,replay_file_sha256,requests,completed,failed,timed_out,not_sent,missing_usage,p99_client_ttft_s,ttft_samples,p99_server_tpot_s,server_tpot_samples,p99_send_lag_s,full_run_completed_output_tokens_per_s,failure_fraction
nanoserve,nanoserve-http,0,0,4.0,d62f1240a873fc095e0173facef678ff0526da9db7d7dcdf813952c07ee5a913,3b68acb1906e7f8d24648bb17b1c8fce17f2ecc79b0085bd577801d189592554,121,121,0,0,0,0,0.819795059003809,121,0.19802257946673005,121,0.00032726600718291365,62.76442605893109,0.0
vllm,vllm-http,0,0,4.0,d62f1240a873fc095e0173facef678ff0526da9db7d7dcdf813952c07ee5a913,af94d5a2c13bb7253057233d805eaef73f06076fec386d4866e9804f0335b5a2,121,121,0,0,0,0,0.01738840500183869,121,,0,0.0004267501443919741,64.39755618639948,0.0
nanoserve,nanoserve-http,0,1,4.0,4022dd15f3db50f5a82d12f6bba16683ed8b4157439c2a53d4671aac98623a33,ab3ecf4cae6b88f7f98d500a075df6c065aaff9571540d3582df280853c117d0,109,109,0,0,0,0,0.23869992100662785,109,0.12318557193308759,109,0.00039153737928643295,57.320190494305756,0.0
vllm,vllm-http,0,1,4.0,4022dd15f3db50f5a82d12f6bba16683ed8b4157439c2a53d4671aac98623a33,cc458cf33543de6df069feb149c45f5302ef231ca8254b289517e75b983f9d00,109,109,0,0,0,0,0.01777797999966424,109,,0,0.0004528458308885597,58.013195877065925,0.0
nanoserve,nanoserve-http,0,2,4.0,b20c8f8a697663b58b05f3c9956c233c9153826902fc5e8f0930655b6b5964a0,6ed12d1d8c438d0d848dbd235ee831658597ced73e823e225907d58c9b971464,132,132,0,0,0,0,0.34924566500558285,132,0.17240512420006174,132,0.0002932148128340639,68.47989827048693,0.0
vllm,vllm-http,0,2,4.0,b20c8f8a697663b58b05f3c9956c233c9153826902fc5e8f0930655b6b5964a0,77debd9a61539a49b26e4da9f52ad4b93c798838a76234827b2cdbda039c1cc4,132,132,0,0,0,0,0.017811526005971245,132,,0,0.0004639567367856756,70.30868345222002,0.0
nanoserve,nanoserve-http,1,0,8.0,e749fc34cd474f5687af349f1f56b49f79166227a9005e6fd1aa4bc8b7d80f0d,b4b069a045a8936480b67158b11cd9ef0b4c14b7e3dd43dde3a4ea3839052b26,229,229,0,0,0,0,3.456306639003742,229,0.20407769726637828,229,11.695936450099914,78.49745418643718,0.0
vllm,vllm-http,1,0,8.0,e749fc34cd474f5687af349f1f56b49f79166227a9005e6fd1aa4bc8b7d80f0d,8a8b786404f6c78594f89dfb80bfa1c41aaf4462abf50a22906a22282830361c,229,229,0,0,0,0,0.0179850689964951,229,,0,0.0005578885721986282,122.05229721917145,0.0
nanoserve,nanoserve-http,1,1,8.0,6258827685d583fadfc369c16eba4cb6ef366d3bcc58754d2d25527cd529b2fb,bce291dd65de21502a06757419cbbe390bec99ebbf961e80cc1813a0bfd0e37f,240,235,5,5,0,0,3.606931114998588,235,0.21198214353304742,235,14.78388371774879,75.1731094000531,0.020833333333333332
vllm,vllm-http,1,1,8.0,6258827685d583fadfc369c16eba4cb6ef366d3bcc58754d2d25527cd529b2fb,d5122fa323c3a0b0c01a39a2866047f4957fbd6e921015105df2f26a68627108,240,240,0,0,0,0,0.018058920999465045,240,,0,0.0004841122543748355,127.71566359553627,0.0
nanoserve,nanoserve-http,1,2,8.0,af7eaa09948acc848389aaa96ab78ba4109b82758f462460548f4b8d3dd2480c,a0e13e4f01508de692bc438533274f9e672a39b365f14c64bcf2203f9b861786,265,241,24,24,0,0,3.527006746000552,241,0.2064674321998609,241,18.663461218520453,77.09789100632906,0.09056603773584905
vllm,vllm-http,1,2,8.0,af7eaa09948acc848389aaa96ab78ba4109b82758f462460548f4b8d3dd2480c,76635ea8a3ba96e3f571afc6c8aa159ad9c3df15d37a94abfc49df8056b0f6e7,265,265,0,0,0,0,0.018238496995763853,265,,0,0.00044442104872999266,140.8969367266962,0.0
nanoserve,nanoserve-http,2,0,16.0,becdfa1c7071a2c8698d904ce205f187776ef6ed917b12a955f1706c486ab097,bfeed342f45244cd45955c991f4827734e044098a0e02a04e28e0e65777296bb,455,240,215,32,183,0,3.6256580939952983,240,0.21245662353370184,240,30.595275242744478,76.79502745439471,0.4725274725274725
vllm,vllm-http,2,0,16.0,becdfa1c7071a2c8698d904ce205f187776ef6ed917b12a955f1706c486ab097,f83371fdfede11ffccbbc9e877e72e45ad895264cffa8d4c6f11db6212e6da6c,455,455,0,0,0,0,0.01814860600279644,455,,0,0.0004433709735316427,242.0662351600263,0.0
nanoserve,nanoserve-http,2,1,16.0,dbdb671e938c97b9c125edbd36c8ac415d2bc829ea3c92d0884600b11dc8ad76,a03c0b14d4fda87ad249561fe1c20a30f875310103ea521cb15253a1b655b970,500,240,260,32,228,0,3.43254792499647,240,0.19974670373291398,240,31.551215923415754,76.79430579744762,0.52
vllm,vllm-http,2,1,16.0,dbdb671e938c97b9c125edbd36c8ac415d2bc829ea3c92d0884600b11dc8ad76,3d58ac7b1c3c154c4a4f01e1a733102103d761f4c3141ea611b2d05256a3f384,500,500,0,0,0,0,0.01872771700436715,500,,0,0.00039438461783092293,265.9863940777361,0.0
