engine,adapter,rate_index,repetition,target_rate_rps,trace_sha256,replay_file_sha256,requests,completed,failed,timed_out,not_sent,missing_usage,p99_client_ttft_s,ttft_samples,p99_server_tpot_s,server_tpot_samples,p99_send_lag_s,full_run_completed_output_tokens_per_s,failure_fraction
nanoserve,nanoserve-http,0,0,0.5,abd9b7003672060f6b99434e67a0f0fe35867115b5792a406c61c3e4e1325e92,ad57a7ce9f8191cfd51923c911a8655711ade426ad1e3c5c0815488c18971ff2,21,21,0,0,0,0,0.11099324200040428,21,0.044695963533498195,21,0.0016340594462769253,11.186713901229867,0.0
vllm,vllm-http,0,0,0.5,abd9b7003672060f6b99434e67a0f0fe35867115b5792a406c61c3e4e1325e92,1703ec263d38f67ef66ce9e5e367855bdebdc9e5abbe8a0364124cb41cf027f4,21,21,0,0,0,0,0.01687554200179875,21,,0,0.001312705449580509,11.187116008438718,0.0
nanoserve,nanoserve-http,0,1,0.5,bf78dc821dd924b70b702157942c3f71fec365dc0846e1d1badff1a395414f99,2b1f700195a61945f60721db33cc7618a7ab89e494ea2e8c825cd1da5fe390a7,17,17,0,0,0,0,0.07961676299601095,17,0.04146059706690721,17,0.0013286600512317226,9.059088035332044,0.0
vllm,vllm-http,0,1,0.5,bf78dc821dd924b70b702157942c3f71fec365dc0846e1d1badff1a395414f99,47d572281ad4c9a32132b7977aebf1a0e13f5b929891dafa1d77d4db55967681,17,17,0,0,0,0,0.017140121999545954,17,,0,0.0012993850538721152,9.059378994788421,0.0
nanoserve,nanoserve-http,0,2,0.5,23b3eadbfe05672e0ff56e7bcbe47d9946a260b5b5f1e06cb615f039935e025c,780f7bb5c6ec146e74db4c19537e8b2818fdeba10f28702289714caed74d4378,17,17,0,0,0,0,0.11089020100189373,17,0.0642104454668394,17,0.0012986710345141983,9.057115815767576,0.0
vllm,vllm-http,0,2,0.5,23b3eadbfe05672e0ff56e7bcbe47d9946a260b5b5f1e06cb615f039935e025c,e62064180b4d8b9d95c056270ac01977491b1c92a941e2d7efb0536edc38870e,17,17,0,0,0,0,0.01732929699937813,17,,0,0.001291665036755374,9.058477077200621,0.0
nanoserve,nanoserve-http,1,0,1.0,0771f58e19c3d848ea1966ac810b69a0113ffb69ab1fd8b1898c7d2dec65e6be,b508a15520f341b529095a5243fa0f4ae9982c1990dc5c0943d044160fb88699,33,33,0,0,0,0,0.12058016700029839,33,0.0529168184667166,33,0.0016219077268300186,17.58897175692281,0.0
vllm,vllm-http,1,0,1.0,0771f58e19c3d848ea1966ac810b69a0113ffb69ab1fd8b1898c7d2dec65e6be,d7cebe4a179eae8059211cbf0c64db4af226ee8a736db626912e2b462b6abecf,33,33,0,0,0,0,0.01789733799523674,33,,0,0.001605125723316947,17.588159117189427,0.0
nanoserve,nanoserve-http,1,1,1.0,1dd53cca1803fe8376449b26ad32709a39afc79334dd46db58456bb1bb52176e,f73c0e7d8cb9bc103797e6e930b5eba4cd68555c193909c54522d49506c8e175,33,33,0,0,0,0,0.09319007999874884,33,0.05277499126677867,33,0.0015872735274073124,17.583358179073716,0.0
vllm,vllm-http,1,1,1.0,1dd53cca1803fe8376449b26ad32709a39afc79334dd46db58456bb1bb52176e,33d4a37ebf3dc82849fee650d1ecfdf65acad995ed433bd2fd3d5964a08d73c4,33,33,0,0,0,0,0.01579229499475332,33,,0,0.0013821615246755459,17.5823455638916,0.0
nanoserve,nanoserve-http,1,2,1.0,e60ac6b51ddf0619d56b629d9446816e3472d330bf3a20273aadbc4e11f01fa2,b4a879e25245ce47da288cc5a0f700ff079c9e0e1d9af9278d8762e284728717,35,35,0,0,0,0,0.15958162800234277,35,0.08602051266643684,35,0.0013834395136219646,18.575984959531628,0.0
vllm,vllm-http,1,2,1.0,e60ac6b51ddf0619d56b629d9446816e3472d330bf3a20273aadbc4e11f01fa2,9376a55e8b2b1ba4a7c6965307305d66469ee25f52c8dd0282dceb3df408fe23,35,35,0,0,0,0,0.017916951997904107,35,,0,0.0014161025169888708,18.650216650889384,0.0
nanoserve,nanoserve-http,2,0,2.0,9669c7c1d5b763f7fb41c9046be94c267d3463c96ec595db5648503067e21893,61cfa3832bf86cc0123e16140c801f0b03504f8d346366348ac96062689fca99,66,66,0,0,0,0,0.22939257300458848,66,0.11673219066675908,66,0.0016486093613045094,34.69947227232588,0.0
vllm,vllm-http,2,0,2.0,9669c7c1d5b763f7fb41c9046be94c267d3463c96ec595db5648503067e21893,7baefe7ac90100d645734f521f64aabd0cd77b9991942dde19eedbd456311cd1,66,66,0,0,0,0,0.0168450529963593,66,,0,0.0013532253673608219,35.11664960441133,0.0
